id,name,address,city,postal_code,region,facility_type,telephone,email,website,cost_estimate,quality_score,cardiology_rating,orthopedics_rating,oncology_rating,neurology_rating,surgery_rating,urology_rating,pediatrics_rating,gynecology_rating,strengths_summary,data_source,attribution
1882,Spedali Civili di Brescia,Piazzale Spedali Civili 1,Brescia,,Lombardia,Ospedale Pubblico,030 39951,urp@asst-spedalicivili.it,,124.71,4.6,,,,,,,,,,Lombardia Open Data,Regione Lombardia - Elenco delle strutture sanitarie accreditate
1883,Ospedale Papa Giovanni XXIII,Piazza OMS 1,Bergamo,,Lombardia,Ospedale Pubblico,035 267111,urp@asst-pg23.it,,259.88,2.5,,,,,,,,,,Lombardia Open Data,Regione Lombardia - Elenco delle strutture sanitarie accreditate
1884,Ospedale di Circolo e Fondazione Macchi,Viale Luigi Borri 57,Varese,,Lombardia,Ospedale Pubblico,0332 278111,urp@asst-settelaghi.it,,163.55,3.1,,,,,,,,,,Lombardia Open Data,Regione Lombardia - Elenco delle strutture sanitarie accreditate
1885,Ospedale San Matteo,Viale Camillo Golgi 19,Pavia,,Lombardia,IRCCS Pubblico,0382 5011,urp@smatteo.pv.it,,,2.6,,,,,,,,,,Lombardia Open Data,Regione Lombardia - Elenco delle strutture sanitarie accreditate
1886,Ospedale Civico Di Cristina Benfratelli,Piazza Nicola Leotta 4,Palermo,,Sicilia,Ospedale Pubblico,091 666 1111,,,,2.7,,,,,,,,,,Sicilia Open Data,Regione Sicilia - Strutture sanitarie
1887,Policlinico Paolo Giaccone,Via del Vespro 129,Palermo,,Sicilia,Policlinico Universitario,091 655 1111,,,116.18,2.6,,,,,,,,,,Sicilia Open Data,Regione Sicilia - Strutture sanitarie
1888,Ospedale Buccheri La Ferla,Via Messina Marine 197,Palermo,,Sicilia,Ospedale Privato,091 479 111,,,172.73,4.7,,,,,,,,,,Sicilia Open Data,Regione Sicilia - Strutture sanitarie
1889,Ospedale Villa Sofia-Cervello,Viale Strasburgo 233,Palermo,,Sicilia,Ospedale Pubblico,091 780 8111,,,,4.1,,,,,,,,,,Sicilia Open Data,Regione Sicilia - Strutture sanitarie
1890,ISMETT,Via Ernesto Tricomi 5,Palermo,,Sicilia,IRCCS Privato,091 219 2111,,,,3.3,,,,,,,,,,Sicilia Open Data,Regione Sicilia - Strutture sanitarie
1891,Policlinico Vittorio Emanuele,Via Santa Sofia 78,Catania,,Sicilia,Policlinico Universitario,095 378 1111,,,241.86,4.9,,,,,,,,,,Sicilia Open Data,Regione Sicilia - Strutture sanitarie
1892,Ospedale Cannizzaro,Via Messina 829,Catania,,Sicilia,Ospedale Pubblico,095 726 1111,,,173.33,2.6,,,,,,,,,,Sicilia Open Data,Regione Sicilia - Strutture sanitarie
1893,Ospedale Garibaldi Centro,Piazza Santa Maria di Ges 5,Catania,,Sicilia,Ospedale Pubblico,095 759 4111,,,151.98,3.6,,,,,,,,,,Sicilia Open Data,Regione Sicilia - Strutture sanitarie
1894,Ospedale Papardo,Contrada Papardo,Messina,,Sicilia,Ospedale Pubblico,090 399 6111,,,270.23,4.2,,,,,,,,,,Sicilia Open Data,Regione Sicilia - Strutture sanitarie
1895,Policlinico G. Martino,Via Consolare Valeria 1,Messina,,Sicilia,Policlinico Universitario,090 221 2111,,,170.85,3.7,,,,,,,,,,Sicilia Open Data,Regione Sicilia - Strutture sanitarie
1896,Ospedale Civile OMPA,Via Pompei 1,Ragusa,,Sicilia,Ospedale Pubblico,0932 600 111,,,,4.8,,,,,,,,,,Sicilia Open Data,Regione Sicilia - Strutture sanitarie
1897,Ospedale Giovanni Paolo II,Contrada Zaiera,Ragusa,,Sicilia,Ospedale Pubblico,0932 600 211,,,215.12,2.5,,,,,,,,,,Sicilia Open Data,Regione Sicilia - Strutture sanitarie
1898,Policlinico Sant'Orsola-Malpighi,Via Albertoni 15,Bologna,,Emilia-Romagna,Policlinico Universitario,051 636 1111,urp@aosp.bo.it,,53.6,3.8,,,,,,,,,,Emilia-Romagna Open Data,Regione Emilia-Romagna - Strutture sanitarie
1899,Ospedale Maggiore,Largo Bartolo Nigrisoli 2,Bologna,,Emilia-Romagna,Ospedale Pubblico,051 647 8111,urp@ausl.bologna.it,,,4.3,,,,,,,,,,Emilia-Romagna Open Data,Regione Emilia-Romagna - Strutture sanitarie
1900,Istituto Ortopedico Rizzoli,Via G. C. Pupilli 1,Bologna,,Emilia-Romagna,IRCCS Pubblico,051 636 6111,urp@ior.it,,260.59,2.7,,,,,,,,,,Emilia-Romagna Open Data,Regione Emilia-Romagna - Strutture sanitarie
1901,Ospedale Bellaria,Via Altura 3,Bologna,,Emilia-Romagna,Ospedale Pubblico,051 622 5111,urp@ausl.bologna.it,,197.65,3.6,,,,,,,,,,Emilia-Romagna Open Data,Regione Emilia-Romagna - Strutture sanitarie
1902,Azienda Ospedaliero-Universitaria di Parma,Via Gramsci 14,Parma,,Emilia-Romagna,Policlinico Universitario,0521 702 111,urp@ao.pr.it,,,5.0,,,,,,,,,,Emilia-Romagna Open Data,Regione Emilia-Romagna - Strutture sanitarie
1903,Ospedale di Baggiovara,Via Pietro Giardini 1355,Modena,,Emilia-Romagna,Ospedale Pubblico,059 396 1111,urp@policlinico.mo.it,,162.83,3.3,,,,,,,,,,Emilia-Romagna Open Data,Regione Emilia-Romagna - Strutture sanitarie
1904,Arcispedale Santa Maria Nuova,Viale Risorgimento 80,Reggio Emilia,,Emilia-Romagna,Ospedale Pubblico,0522 296 111,urp@ausl.re.it,,256.01,4.4,,,,,,,,,,Emilia-Romagna Open Data,Regione Emilia-Romagna - Strutture sanitarie
1905,Ospedale Infermi,Viale Luigi Settembrini 2,Rimini,,Emilia-Romagna,Ospedale Pubblico,0541 705 111,urp@auslromagna.it,,280.52,2.8,,,,,,,,,,Emilia-Romagna Open Data,Regione Emilia-Romagna - Strutture sanitarie
1906,Ospedale Bufalini,Viale Giovanni Ghirotti 286,Cesena,,Emilia-Romagna,Ospedale Pubblico,0547 352 111,urp@auslromagna.it,,,4.3,,,,,,,,,,Emilia-Romagna Open Data,Regione Emilia-Romagna - Strutture sanitarie
1907,Ospedale M. Bufalini,Viale Giovanni Ghirotti 286,Cesena,,Emilia-Romagna,Ospedale Pubblico,0547 352 111,urp@auslromagna.it,,221.35,3.2,,,,,,,,,,Emilia-Romagna Open Data,Regione Emilia-Romagna - Strutture sanitarie
1908,Ospedale Morgagni - Pierantoni,Via Carlo Forlanini 34,Forl,,Emilia-Romagna,Ospedale Pubblico,0543 731 111,urp@auslromagna.it,,272.72,4.2,,,,,,,,,,Emilia-Romagna Open Data,Regione Emilia-Romagna - Strutture sanitarie
1909,Ospedale Santa Maria delle Croci,Viale Vincenzo Randi 5,Ravenna,,Emilia-Romagna,Ospedale Pubblico,0544 285 111,urp@auslromagna.it,,142.36,3.7,,,,,,,,,,Emilia-Romagna Open Data,Regione Emilia-Romagna - Strutture sanitarie
1910,Ospedale Antonio Cardarelli,Via Antonio Cardarelli 9,Napoli,,Campania,Ospedale Pubblico,081 747 1111,,,70.34,4.0,,,,,,,,,,Campania Open Data,Regione Campania - Strutture sanitarie
1911,Policlinico Federico II,Via Sergio Pansini 5,Napoli,,Campania,Policlinico Universitario,081 746 1111,,,215.5,4.3,,,,,,,,,,Campania Open Data,Regione Campania - Strutture sanitarie
1912,Ospedale del Mare,Via Enrico Russo,Napoli,,Campania,Ospedale Pubblico,081 187 2111,,,,4.4,,,,,,,,,,Campania Open Data,Regione Campania - Strutture sanitarie
1913,AORN Dei Colli - Monaldi,Via Leonardo Bianchi,Napoli,,Campania,Ospedale Pubblico,081 706 2111,,,102.6,3.3,,,,,,,,,,Campania Open Data,Regione Campania - Strutture sanitarie
1914,AORN Dei Colli - Cotugno,Via Gaetano Quagliariello 54,Napoli,,Campania,Ospedale Pubblico,081 590 8111,,,134.99,3.4,,,,,,,,,,Campania Open Data,Regione Campania - Strutture sanitarie
1915,Ospedale Santobono,Via Mario Fiore 6,Napoli,,Campania,Ospedale Pediatrico,081 755 6111,,,213.14,3.5,,,,,,,,,,Campania Open Data,Regione Campania - Strutture sanitarie
1916,Ospedale Rummo,Via dell'Angelo 1,Benevento,,Campania,Ospedale Pubblico,0824 571 11,,,270.59,4.3,,,,,,,,,,Campania Open Data,Regione Campania - Strutture sanitarie
1917,Azienda Ospedaliera San Giuseppe Moscati,Contrada Amoretta,Avellino,,Campania,Ospedale Pubblico,0825 203 111,,,,3.2,,,,,,,,,,Campania Open Data,Regione Campania - Strutture sanitarie
1918,Azienda Ospedaliera San Sebastiano,Via Palasciano,Caserta,,Campania,Ospedale Pubblico,0823 232 111,,,,4.1,,,,,,,,,,Campania Open Data,Regione Campania - Strutture sanitarie
1919,Ospedale San Leonardo,Via Sant'Anna,Castellammare di Stabia,,Campania,Ospedale Pubblico,081 872 1111,,,72.62,3.8,,,,,,,,,,Campania Open Data,Regione Campania - Strutture sanitarie
1920,Casa di Cura Villa dei Fiori,Corso Italia 157,Acerra,,Campania,Ospedale Privato,081 361 9111,,,289.33,3.6,,,,,,,,,,Campania Open Data,Regione Campania - Strutture sanitarie
1921,Clinica Mediterranea,Via Orazio 2,Napoli,,Campania,Ospedale Privato,081 764 0111,,,215.21,3.5,,,,,,,,,,Campania Open Data,Regione Campania - Strutture sanitarie
1922,Azienda Ospedaliera di Padova,Via Giustiniani 2,Padova,,Veneto,Ospedale Pubblico,049 821 1111,urp@aopd.veneto.it,,193.27,3.9,,,,,,,,,,Veneto Open Data,Regione Veneto - Strutture sanitarie
1923,Ospedale dell'Angelo,Via Paccagnella 11,Venezia,,Veneto,Ospedale Pubblico,041 965 7111,urpve@aulss3.veneto.it,,213.87,3.9,,,,,,,,,,Veneto Open Data,Regione Veneto - Strutture sanitarie
1924,Ospedale San Bortolo,Viale Rodolfi 37,Vicenza,,Veneto,Ospedale Pubblico,0444 753 111,urp@aulss8.veneto.it,,,4.7,,,,,,,,,,Veneto Open Data,Regione Veneto - Strutture sanitarie
1925,Ospedale Ca' Foncello,Piazza Ospedale 1,Treviso,,Veneto,Ospedale Pubblico,0422 322 111,urp@aulss2.veneto.it,,,2.6,,,,,,,,,,Veneto Open Data,Regione Veneto - Strutture sanitarie
1926,Ospedale di Mestre,Via Circonvallazione 50,Venezia,,Veneto,Ospedale Pubblico,041 260 7111,urpve@aulss3.veneto.it,,163.65,4.4,,,,,,,,,,Veneto Open Data,Regione Veneto - Strutture sanitarie
1927,Ospedale di Dolo,Via XXIX Aprile 2,Dolo,,Veneto,Ospedale Pubblico,041 513 3111,urp@aulss3.veneto.it,,239.99,3.9,,,,,,,,,,Veneto Open Data,Regione Veneto - Strutture sanitarie
1928,Ospedale Civile SS. Giovanni e Paolo,Castello 6777,Venezia,,Veneto,Ospedale Pubblico,041 529 4111,urpve@aulss3.veneto.it,,206.62,4.4,,,,,,,,,,Veneto Open Data,Regione Veneto - Strutture sanitarie
1929,Ospedale di Verona Borgo Trento,Piazzale Aristide Stefani 1,Verona,,Veneto,Ospedale Pubblico,045 812 1111,urp@aovr.veneto.it,,,2.8,,,,,,,,,,Veneto Open Data,Regione Veneto - Strutture sanitarie
1930,Ospedale di Verona Borgo Roma,Piazzale L.A. Scuro 10,Verona,,Veneto,Ospedale Pubblico,045 812 1111,urp@aovr.veneto.it,,156.57,4.5,,,,,,,,,,Veneto Open Data,Regione Veneto - Strutture sanitarie
1931,Ospedale di Belluno,Viale Europa 22,Belluno,,Veneto,Ospedale Pubblico,0437 516 111,urp@aulss1.veneto.it,,,2.9,,,,,,,,,,Veneto Open Data,Regione Veneto - Strutture sanitarie
1932,Ospedale San Martino,Via Rizzoli 1,Belluno,,Veneto,Ospedale Pubblico,0437 753 111,urp@aulss1.veneto.it,,121.76,3.8,,,,,,,,,,Veneto Open Data,Regione Veneto - Strutture sanitarie
1933,Ospedale di Cittadella,Via Casa di Ricovero 40,Cittadella,,Veneto,Ospedale Pubblico,049 942 4111,urp@aulss6.veneto.it,,174.03,5.0,,,,,,,,,,Veneto Open Data,Regione Veneto - Strutture sanitarie
1934,Ospedale Molinette,Corso Bramante 88,Torino,,Piemonte,Ospedale Pubblico,011 633 1633,,,162.04,3.7,,,,,,,,,,Piemonte Open Data,Regione Piemonte - Strutture sanitarie
1935,Ospedale San Giovanni Bosco,Piazza Donatore di Sangue 3,Torino,,Piemonte,Ospedale Pubblico,011 240 1111,,,137.13,2.8,,,,,,,,,,Piemonte Open Data,Regione Piemonte - Strutture sanitarie
1936,Ospedale CTO,Via Zuretti 29,Torino,,Piemonte,Ospedale Pubblico,011 633 6111,,,,3.8,,,,,,,,,,Piemonte Open Data,Regione Piemonte - Strutture sanitarie
1937,Ospedale Regina Margherita,Piazza Polonia 94,Torino,,Piemonte,Ospedale Pediatrico,011 313 1111,,,,3.5,,,,,,,,,,Piemonte Open Data,Regione Piemonte - Strutture sanitarie
1938,Ospedale Sant'Anna,Corso Spezia 60,Torino,,Piemonte,Ospedale Ostetrico-Ginecologico,011 313 4444,,,260.54,3.6,,,,,,,,,,Piemonte Open Data,Regione Piemonte - Strutture sanitarie
1939,Ospedale Mauriziano Umberto I,Via Magellano 1,Torino,,Piemonte,Ospedale Pubblico,011 508 1111,,,264.66,4.5,,,,,,,,,,Piemonte Open Data,Regione Piemonte - Strutture sanitarie
1940,Ospedale Maggiore della Carita,Corso Mazzini 18,Novara,,Piemonte,Ospedale Pubblico,0321 373 3111,,,,4.1,,,,,,,,,,Piemonte Open Data,Regione Piemonte - Strutture sanitarie
1941,Ospedale SS. Antonio e Biagio,Via Venezia 16,Alessandria,,Piemonte,Ospedale Pubblico,0131 206 111,,,299.07,3.3,,,,,,,,,,Piemonte Open Data,Regione Piemonte - Strutture sanitarie
1942,Ospedale Santa Croce e Carle,Via Michele Coppino 26,Cuneo,,Piemonte,Ospedale Pubblico,0171 641 111,,,101.3,3.9,,,,,,,,,,Piemonte Open Data,Regione Piemonte - Strutture sanitarie
1943,Ospedale San Luigi Gonzaga,Regione Gonzole 10,Orbassano,,Piemonte,Ospedale Pubblico,011 902 6111,,,246.38,2.6,,,,,,,,,,Piemonte Open Data,Regione Piemonte - Strutture sanitarie
1944,Ospedale Cardinal Massaia,Corso Dante 202,Asti,,Piemonte,Ospedale Pubblico,0141 486 111,,,,2.7,,,,,,,,,,Piemonte Open Data,Regione Piemonte - Strutture sanitarie
1945,Ospedale Maria Vittoria,Via Cibrario 72,Torino,,Piemonte,Ospedale Pubblico,011 439 3111,,,290.88,3.1,,,,,,,,,,Piemonte Open Data,Regione Piemonte - Strutture sanitarie
1946,Ospedale Policlinico San Martino,Largo Rosanna Benzi 10,Genova,,Liguria,IRCCS Pubblico,010 555 1,,,297.93,2.6,,,,,,,,,,Liguria Open Data,Regione Liguria - Strutture sanitarie
1947,Ospedale Galliera,Mura delle Cappuccine 14,Genova,,Liguria,Ospedale Pubblico,010 563 21,,,,2.7,,,,,,,,,,Liguria Open Data,Regione Liguria - Strutture sanitarie
1948,Ospedale Villa Scassi,Corso Onofrio Scassi 1,Genova,,Liguria,Ospedale Pubblico,010 849 91,,,209.38,4.5,,,,,,,,,,Liguria Open Data,Regione Liguria - Strutture sanitarie
1949,Ospedale Gaslini,Via Gerolamo Gaslini 5,Genova,,Liguria,IRCCS Pediatrico,010 56311,,,57.8,4.1,,,,,,,,,,Liguria Open Data,Regione Liguria - Strutture sanitarie
1950,Ospedale San Paolo,Via Genova 30,Savona,,Liguria,Ospedale Pubblico,019 84041,,,108.1,3.5,,,,,,,,,,Liguria Open Data,Regione Liguria - Strutture sanitarie
1956,Ospedale SS. Annunziata,Via dei Vestini,Chieti,,Abruzzo,Ospedale Pubblico,0871 357111,,,241.93,3.6,5.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,Outstanding in cardiology.,Abruzzo Open Data,Regione Abruzzo - Strutture sanitarie
1960,Ospedale San Pio,Viale Benedetto Croce,Vasto,,Abruzzo,Ospedale Pubblico,0873 3081,,,165.98,3.2,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,,Abruzzo Open Data,Regione Abruzzo - Strutture sanitarie
1951,Ospedale Santa Corona,Via XXV Aprile 38,Pietra Ligure,,Liguria,Ospedale Pubblico,019 62301,,,139.49,4.9,,,,,,,,,,Liguria Open Data,Regione Liguria - Strutture sanitarie
1952,Ospedale Lavagna,Via Don Giovanni Battista Bobbio 25,Lavagna,,Liguria,Ospedale Pubblico,0185 3291,,,134.68,4.9,,,,,,,,,,Liguria Open Data,Regione Liguria - Strutture sanitarie
1953,Ospedale Sant'Andrea,Via Vittorio Veneto 197,La Spezia,,Liguria,Ospedale Pubblico,0187 5331,,,237.69,2.6,,,,,,,,,,Liguria Open Data,Regione Liguria - Strutture sanitarie
1954,Ospedale di Sanremo,Via Giovanni Borea 56,Sanremo,,Liguria,Ospedale Pubblico,0184 5361,,,56.31,3.6,,,,,,,,,,Liguria Open Data,Regione Liguria - Strutture sanitarie
1955,Ospedale San Salvatore,Via Lorenzo Natali,L'Aquila,,Abruzzo,Ospedale Pubblico,0862 3681,,,,4.7,,,,,,,,,,Abruzzo Open Data,Regione Abruzzo - Strutture sanitarie
1957,Ospedale Spirito Santo,Via Fonte Romana 8,Pescara,,Abruzzo,Ospedale Pubblico,085 4251,,,224.88,4.9,,,,,,,,,,Abruzzo Open Data,Regione Abruzzo - Strutture sanitarie
1958,Ospedale G. Mazzini,Piazza Italia 1,Teramo,,Abruzzo,Ospedale Pubblico,0861 4291,,,182.91,4.9,,,,,,,,,,Abruzzo Open Data,Regione Abruzzo - Strutture sanitarie
1959,Ospedale Renzetti,Via Rindertorfer,Lanciano,,Abruzzo,Ospedale Pubblico,0872 706111,,,264.5,3.3,,,,,,,,,,Abruzzo Open Data,Regione Abruzzo - Strutture sanitarie
1961,Ospedale San Massimo,Via Francia,Penne,,Abruzzo,Ospedale Pubblico,085 8276111,,,51.86,4.0,,,,,,,,,,Abruzzo Open Data,Regione Abruzzo - Strutture sanitarie
1962,Ospedale Civile G. Bernabeo,Via Pindaro 2,Ortona,,Abruzzo,Ospedale Pubblico,085 9171,,,275.43,4.5,,,,,,,,,,Abruzzo Open Data,Regione Abruzzo - Strutture sanitarie
1963,Ospedale Maria SS. dello Splendore,Via Vittorio Veneto 2,Giulianova,,Abruzzo,Ospedale Pubblico,085 80211,,,,4.3,,,,,,,,,,Abruzzo Open Data,Regione Abruzzo - Strutture sanitarie
1964,Ospedali Riuniti di Ancona,Via Conca 71,Ancona,,Marche,Ospedale Pubblico,071 5961,,,118.57,3.0,,,,,,,,,,Marche Open Data,Regione Marche - Strutture sanitarie
1965,Ospedale Salesi,Via Filippo Corridoni 11,Ancona,,Marche,Ospedale Pediatrico,071 59641,,,,4.8,,,,,,,,,,Marche Open Data,Regione Marche - Strutture sanitarie
1966,INRCA Ancona,Via della Montagnola 81,Ancona,,Marche,IRCCS Pubblico,071 8001,,,,2.7,,,,,,,,,,Marche Open Data,Regione Marche - Strutture sanitarie
1967,Ospedale Carlo Urbani,Via dei Colli 52,Jesi,,Marche,Ospedale Pubblico,0731 5341,,,221.15,3.3,,,,,,,,,,Marche Open Data,Regione Marche - Strutture sanitarie
1968,Ospedale di Macerata,Via Santa Lucia 2,Macerata,,Marche,Ospedale Pubblico,0733 25111,,,64.07,2.8,,,,,,,,,,Marche Open Data,Regione Marche - Strutture sanitarie
1969,Ospedale di Civitanova Marche,Via Ginevri,Civitanova Marche,,Marche,Ospedale Pubblico,0733 8231,,,68.98,4.6,,,,,,,,,,Marche Open Data,Regione Marche - Strutture sanitarie
1970,Ospedale San Salvatore,Piazzale Cinelli 4,Pesaro,,Marche,Ospedale Pubblico,0721 3611,,,162.17,4.5,,,,,,,,,,Marche Open Data,Regione Marche - Strutture sanitarie
1971,Ospedale Madonna del Soccorso,Via Manara,San Benedetto del Tronto,,Marche,Ospedale Pubblico,0735 793111,,,164.82,2.9,,,,,,,,,,Marche Open Data,Regione Marche - Strutture sanitarie
1972,Ospedale Santa Croce,Via del Mandracchio 11,Fano,,Marche,Ospedale Pubblico,0721 8821,,,,4.3,,,,,,,,,,Marche Open Data,Regione Marche - Strutture sanitarie
1973,Ospedale Santa Maria della Misericordia,Piazzale Giorgio Menghini,Perugia,,Umbria,Ospedale Pubblico,075 5781,,,129.95,3.4,,,,,,,,,,Umbria Open Data,Regione Umbria - Strutture sanitarie
1974,Ospedale Santa Maria,Viale Tristano di Joannuccio,Terni,,Umbria,Ospedale Pubblico,0744 2051,,,85.2,2.9,,,,,,,,,,Umbria Open Data,Regione Umbria - Strutture sanitarie
1975,Ospedale San Giovanni Battista,Via Massimo Arcamone,Orvieto,,Umbria,Ospedale Pubblico,0763 3071,,,81.2,2.6,,,,,,,,,,Umbria Open Data,Regione Umbria - Strutture sanitarie
1976,Ospedale di Citta di Castello,Via Luigi Angelini 10,Citt di Castello,,Umbria,Ospedale Pubblico,075 85091,,,164.44,3.2,,,,,,,,,,Umbria Open Data,Regione Umbria - Strutture sanitarie
1977,Ospedale di Gubbio - Gualdo Tadino,Largo Unit d'Italia,Gubbio,,Umbria,Ospedale Pubblico,075 927 01,,,178.93,2.8,,,,,,,,,,Umbria Open Data,Regione Umbria - Strutture sanitarie
1978,Ospedale di Foligno,Via Arcamone,Foligno,,Umbria,Ospedale Pubblico,0742 3391,,,,2.5,,,,,,,,,,Umbria Open Data,Regione Umbria - Strutture sanitarie
1979,Ospedale di Spoleto,Via Loreto 3,Spoleto,,Umbria,Ospedale Pubblico,0743 2101,,,223.2,4.1,,,,,,,,,,Umbria Open Data,Regione Umbria - Strutture sanitarie
1980,Ospedale Media Valle del Tevere,Via del Buda,Todi,,Umbria,Ospedale Pubblico,075 894 11,,,201.97,2.9,,,,,,,,,,Umbria Open Data,Regione Umbria - Strutture sanitarie
1981,Ospedale Pugliese Ciaccio,Viale Pio X,Catanzaro,,Calabria,Ospedale Pubblico,0961 883111,,,,3.4,,,,,,,,,,Calabria Open Data,Regione Calabria - Strutture sanitarie
1982,Azienda Ospedaliera di Cosenza,Via San Martino,Cosenza,,Calabria,Ospedale Pubblico,0984 6811,,,,3.6,,,,,,,,,,Calabria Open Data,Regione Calabria - Strutture sanitarie
1983,Grande Ospedale Metropolitano,Via Giuseppe Melacrino,Reggio Calabria,,Calabria,Ospedale Pubblico,0965 397111,,,239.21,2.9,,,,,,,,,,Calabria Open Data,Regione Calabria - Strutture sanitarie
1984,Ospedale Giovanni Paolo II,Viale Pio X,Lamezia Terme,,Calabria,Ospedale Pubblico,0968 2081,,,93.95,4.2,,,,,,,,,,Calabria Open Data,Regione Calabria - Strutture sanitarie
