id,name,address,city,postal_code,region_id,facility_type,telephone,email,website,cost_estimate,quality_score,data_source,attribution,cardiology_rating,orthopedics_rating,oncology_rating,neurology_rating,surgery_rating,urology_rating,pediatrics_rating,gynecology_rating,strengths_summary,latitude,longitude,geocoded
1880,Ospedale Luigi Sacco,Via Giovanni Battista Grassi 74,Milano,,381,Ospedale Pubblico,02 39041,urp@asst-fbf-sacco.it,,68.63,3.8,Lombardia Open Data,Regione Lombardia - Elenco delle strutture sanitarie accreditate,,,,,,,,,,45.5175532,9.1201819,True
1881,Ospedale Fatebenefratelli,Piazzale Principessa Clotilde 3,Milano,,381,Ospedale Privato,02 63631,urp@asst-fbf-sacco.it,,,4.8,Lombardia Open Data,Regione Lombardia - Elenco delle strutture sanitarie accreditate,,,,,,,,,,45.4794549,9.1919152,True
1882,Spedali Civili di Brescia,Piazzale Spedali Civili 1,Brescia,,381,Ospedale Pubblico,030 39951,urp@asst-spedalicivili.it,,124.71,4.6,Lombardia Open Data,Regione Lombardia - Elenco delle strutture sanitarie accreditate,,,,,,,,,,45.55746175,10.231261014351258,True
1883,Ospedale Papa Giovanni XXIII,Piazza OMS 1,Bergamo,,381,Ospedale Pubblico,035 267111,urp@asst-pg23.it,,259.88,2.5,Lombardia Open Data,Regione Lombardia - Elenco delle strutture sanitarie accreditate,,,,,,,,,,45.6864606,9.6386584,True
1884,Ospedale di Circolo e Fondazione Macchi,Viale Luigi Borri 57,Varese,,381,Ospedale Pubblico,0332 278111,urp@asst-settelaghi.it,,163.55,3.1,Lombardia Open Data,Regione Lombardia - Elenco delle strutture sanitarie accreditate,,,,,,,,,,45.80963962057175,8.835912874154864,True
1885,Ospedale San Matteo,Viale Camillo Golgi 19,Pavia,,381,IRCCS Pubblico,0382 5011,urp@smatteo.pv.it,,,2.6,Lombardia Open Data,Regione Lombardia - Elenco delle strutture sanitarie accreditate,,,,,,,,,,45.1961345,9.1489552,True
1888,Ospedale Buccheri La Ferla,Via Messina Marine 197,Palermo,,382,Ospedale Privato,091 479 111,,,172.73,4.7,Sicilia Open Data,Regione Sicilia - Strutture sanitarie,,,,,,,,,,38.109756250000004,13.3793347,True
1889,Ospedale Villa Sofia-Cervello,Viale Strasburgo 233,Palermo,,382,Ospedale Pubblico,091 780 8111,,,,4.1,Sicilia Open Data,Regione Sicilia - Strutture sanitarie,4.0,3.0,1.0,3.0,4.0,4.0,1.0,4.0,,38.161034977834355,13.322835850047642,True
1890,ISMETT,Via Ernesto Tricomi 5,Palermo,,382,IRCCS Privato,091 219 2111,,,,3.3,Sicilia Open Data,Regione Sicilia - Strutture sanitarie,,,,,,,,,,38.101105509580236,13.35746348734863,True
1891,Policlinico Vittorio Emanuele,Via Santa Sofia 78,Catania,,382,Policlinico Universitario,095 378 1111,,,241.86,4.9,Sicilia Open Data,Regione Sicilia - Strutture sanitarie,,,,,,,,,,37.529593,15.0688631,True
1870,Campus Bio-Medico,Via lvaro del Portillo 200,Roma,,380,Policlinico Universitario,06 225411,,,196.56,3.5,Salute Lazio,Regione Lazio - Strutture sanitarie,4.0,5.0,4.0,4.0,4.0,4.0,1.0,4.0,Outstanding in orthopedics.,41.90462557752792,12.47968396816257,True
1893,Ospedale Garibaldi Centro,Piazza Santa Maria di Ges 5,Catania,,382,Ospedale Pubblico,095 759 4111,,,151.98,3.6,Sicilia Open Data,Regione Sicilia - Strutture sanitarie,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,,38.07185174823522,13.32462553567768,True
1894,Ospedale Papardo,Contrada Papardo,Messina,,382,Ospedale Pubblico,090 399 6111,,,270.23,4.2,Sicilia Open Data,Regione Sicilia - Strutture sanitarie,,,,,,,,,,38.10070704713227,13.313477746179908,True
1923,Ospedale dell'Angelo,Via Paccagnella 11,Venezia,,385,Ospedale Pubblico,041 965 7111,urpve@aulss3.veneto.it,,213.87,3.9,Veneto Open Data,Regione Veneto - Strutture sanitarie,5.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,Excels in cardiology and oncology​,45.50941301451782,12.228023560567443,True
1926,Ospedale di Mestre,Via Circonvallazione 50,Venezia,,385,Ospedale Pubblico,041 260 7111,urpve@aulss3.veneto.it,,163.65,4.4,Veneto Open Data,Regione Veneto - Strutture sanitarie,,,,,,,,,,45.8196135,13.1230122,True
1895,Policlinico G. Martino,Via Consolare Valeria 1,Messina,,382,Policlinico Universitario,090 221 2111,,,170.85,3.7,Sicilia Open Data,Regione Sicilia - Strutture sanitarie,,,,,,,,,,37.9308536,15.3527381,True
1896,Ospedale Civile OMPA,Via Pompei 1,Ragusa,,382,Ospedale Pubblico,0932 600 111,,,,4.8,Sicilia Open Data,Regione Sicilia - Strutture sanitarie,,,,,,,,,,36.91515881169142,14.72177619202833,True
1898,Policlinico Sant'Orsola-Malpighi,Via Albertoni 15,Bologna,,383,Policlinico Universitario,051 636 1111,urp@aosp.bo.it,,53.6,3.8,Emilia-Romagna Open Data,Regione Emilia-Romagna - Strutture sanitarie,,,,,,,,,,44.4902552,11.3638985,True
1899,Ospedale Maggiore,Largo Bartolo Nigrisoli 2,Bologna,,383,Ospedale Pubblico,051 647 8111,urp@ausl.bologna.it,,,4.3,Emilia-Romagna Open Data,Regione Emilia-Romagna - Strutture sanitarie,,,,,,,,,,44.5040761,11.315412715648225,True
1901,Ospedale Bellaria,Via Altura 3,Bologna,,383,Ospedale Pubblico,051 622 5111,urp@ausl.bologna.it,,197.65,3.6,Emilia-Romagna Open Data,Regione Emilia-Romagna - Strutture sanitarie,,,,,,,,,,44.4666446,11.3980313,True
1902,Azienda Ospedaliero-Universitaria di Parma,Via Gramsci 14,Parma,,383,Policlinico Universitario,0521 702 111,urp@ao.pr.it,,,5.0,Emilia-Romagna Open Data,Regione Emilia-Romagna - Strutture sanitarie,,,,,,,,,,44.9316129,10.3626119,True
1903,Ospedale di Baggiovara,Via Pietro Giardini 1355,Modena,,383,Ospedale Pubblico,059 396 1111,urp@policlinico.mo.it,,162.83,3.3,Emilia-Romagna Open Data,Regione Emilia-Romagna - Strutture sanitarie,,,,,,,,,,44.604880050000006,10.87095000773888,True
1904,Arcispedale Santa Maria Nuova,Viale Risorgimento 80,Reggio Emilia,,383,Ospedale Pubblico,0522 296 111,urp@ausl.re.it,,256.01,4.4,Emilia-Romagna Open Data,Regione Emilia-Romagna - Strutture sanitarie,,,,,,,,,,44.6835174,10.630124476103333,True
1905,Ospedale Infermi,Viale Luigi Settembrini 2,Rimini,,383,Ospedale Pubblico,0541 705 111,urp@auslromagna.it,,280.52,2.8,Emilia-Romagna Open Data,Regione Emilia-Romagna - Strutture sanitarie,,,,,,,,,,44.0429033,12.5897482,True
1906,Ospedale Bufalini,Viale Giovanni Ghirotti 286,Cesena,,383,Ospedale Pubblico,0547 352 111,urp@auslromagna.it,,,4.3,Emilia-Romagna Open Data,Regione Emilia-Romagna - Strutture sanitarie,,,,,,,,,,44.1345972,12.2596753,True
1907,Ospedale M. Bufalini,Viale Giovanni Ghirotti 286,Cesena,,383,Ospedale Pubblico,0547 352 111,urp@auslromagna.it,,221.35,3.2,Emilia-Romagna Open Data,Regione Emilia-Romagna - Strutture sanitarie,,,,,,,,,,44.1345972,12.2596753,True
1909,Ospedale Santa Maria delle Croci,Viale Vincenzo Randi 5,Ravenna,,383,Ospedale Pubblico,0544 285 111,urp@auslromagna.it,,142.36,3.7,Emilia-Romagna Open Data,Regione Emilia-Romagna - Strutture sanitarie,,,,,,,,,,44.41077995,12.18867745816637,True
1917,Azienda Ospedaliera San Giuseppe Moscati,Contrada Amoretta,Avellino,,384,Ospedale Pubblico,0825 203 111,,,,3.2,Campania Open Data,Regione Campania - Strutture sanitarie,,,,,,,,,,40.92638022497453,14.798948234737143,True
1922,Azienda Ospedaliera di Padova,Via Giustiniani 2,Padova,,385,Ospedale Pubblico,049 821 1111,urp@aopd.veneto.it,,193.27,3.9,Veneto Open Data,Regione Veneto - Strutture sanitarie,3.0,3.0,1.0,3.0,3.0,5.0,3.0,3.0,Outstanding in urology​,45.4041987,11.8933949,True
1924,Ospedale San Bortolo,Viale Rodolfi 37,Vicenza,,385,Ospedale Pubblico,0444 753 111,urp@aulss8.veneto.it,,,4.7,Veneto Open Data,Regione Veneto - Strutture sanitarie,,,,,,,,,,45.5561213,11.5481124,True
1928,Ospedale Civile SS. Giovanni e Paolo,Castello 6777,Venezia,,385,Ospedale Pubblico,041 529 4111,urpve@aulss3.veneto.it,,206.62,4.4,Veneto Open Data,Regione Veneto - Strutture sanitarie,,,,,,,,,,45.4403034,12.3417059,True
1929,Ospedale di Verona Borgo Trento,Piazzale Aristide Stefani 1,Verona,,385,Ospedale Pubblico,045 812 1111,urp@aovr.veneto.it,,,2.8,Veneto Open Data,Regione Veneto - Strutture sanitarie,,,,,,,,,,45.4528902,10.984095217796257,True
1897,Ospedale Giovanni Paolo II,Contrada Zaiera,Ragusa,,382,Ospedale Pubblico,0932 600 211,,,215.12,2.5,Sicilia Open Data,Regione Sicilia - Strutture sanitarie,,,,,,,,,,38.06245719850696,13.364447490597799,True
1900,Istituto Ortopedico Rizzoli,Via G. C. Pupilli 1,Bologna,,383,IRCCS Pubblico,051 636 6111,urp@ior.it,,260.59,2.7,Emilia-Romagna Open Data,Regione Emilia-Romagna - Strutture sanitarie,,,,,,,,,,44.485776784435615,11.294776273724663,True
1908,Ospedale Morgagni - Pierantoni,Via Carlo Forlanini 34,Forl,,383,Ospedale Pubblico,0543 731 111,urp@auslromagna.it,,272.72,4.2,Emilia-Romagna Open Data,Regione Emilia-Romagna - Strutture sanitarie,,,,,,,,,,44.47794097427486,11.374880986212847,True
1925,Ospedale Ca' Foncello,Piazza Ospedale 1,Treviso,,385,Ospedale Pubblico,0422 322 111,urp@aulss2.veneto.it,,,2.6,Veneto Open Data,Regione Veneto - Strutture sanitarie,5.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,Outstanding in cardiology​,45.390866611147054,12.301001294181132,True
1927,Ospedale di Dolo,Via XXIX Aprile 2,Dolo,,385,Ospedale Pubblico,041 513 3111,urp@aulss3.veneto.it,,239.99,3.9,Veneto Open Data,Regione Veneto - Strutture sanitarie,,,,,,,,,,45.39643555740343,12.343499529482921,True
1950,Ospedale San Paolo,Via Genova 30,Savona,,387,Ospedale Pubblico,019 84041,,,108.1,3.5,Liguria Open Data,Regione Liguria - Strutture sanitarie,,,,,,,,,,44.079647,8.0983213,True
1956,Ospedale SS. Annunziata,Via dei Vestini,Chieti,,388,Ospedale Pubblico,0871 357111,,,241.93,3.6,Abruzzo Open Data,Regione Abruzzo - Strutture sanitarie,5.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,Outstanding in cardiology​,42.365689575170535,14.155313200750214,True
1932,Ospedale San Martino,Via Rizzoli 1,Belluno,,385,Ospedale Pubblico,0437 753 111,urp@aulss1.veneto.it,,121.76,3.8,Veneto Open Data,Regione Veneto - Strutture sanitarie,,,,,,,,,,45.451496502691995,12.347535812594586,True
1943,Ospedale San Luigi Gonzaga,Regione Gonzole 10,Orbassano,,386,Ospedale Pubblico,011 902 6111,,,246.38,2.6,Piemonte Open Data,Regione Piemonte - Strutture sanitarie,,,,,,,,,,45.0294529,7.5571538,True
1935,Ospedale San Giovanni Bosco,Piazza Donatore di Sangue 3,Torino,,386,Ospedale Pubblico,011 240 1111,,,137.13,2.8,Piemonte Open Data,Regione Piemonte - Strutture sanitarie,,,,,,,,,,45.30814205,7.5762576,True
1944,Ospedale Cardinal Massaia,Corso Dante 202,Asti,,386,Ospedale Pubblico,0141 486 111,,,,2.7,Piemonte Open Data,Regione Piemonte - Strutture sanitarie,,,,,,,,,,44.90280343686205,8.204759587601782,True
1931,Ospedale di Belluno,Viale Europa 22,Belluno,,385,Ospedale Pubblico,0437 516 111,urp@aulss1.veneto.it,,,2.9,Veneto Open Data,Regione Veneto - Strutture sanitarie,,,,,,,,,,46.143915173411614,12.212901688722706,True
1936,Ospedale CTO,Via Zuretti 29,Torino,,386,Ospedale Pubblico,011 633 6111,,,,3.8,Piemonte Open Data,Regione Piemonte - Strutture sanitarie,,,,,,,,,,45.0336819,7.6739961,True
1933,Ospedale di Cittadella,Via Casa di Ricovero 40,Cittadella,,385,Ospedale Pubblico,049 942 4111,urp@aulss6.veneto.it,,174.03,5.0,Veneto Open Data,Regione Veneto - Strutture sanitarie,4.0,5.0,1.0,1.0,4.0,4.0,1.0,4.0,Outstanding in orthopedics​,45.6471553,11.7887626,True
1934,Ospedale Molinette,Corso Bramante 88,Torino,,386,Ospedale Pubblico,011 633 1633,,,162.04,3.7,Piemonte Open Data,Regione Piemonte - Strutture sanitarie,3.0,3.0,3.0,3.0,3.0,5.0,1.0,3.0,Outstanding in urology​,45.0416061,7.6745153,True
1937,Ospedale Regina Margherita,Piazza Polonia 94,Torino,,386,Ospedale Pediatrico,011 313 1111,,,,3.5,Piemonte Open Data,Regione Piemonte - Strutture sanitarie,,,,,,,,,,45.0349293,7.6751718,True
1938,Ospedale Sant'Anna,Corso Spezia 60,Torino,,386,Ospedale Ostetrico-Ginecologico,011 313 4444,,,260.54,3.6,Piemonte Open Data,Regione Piemonte - Strutture sanitarie,,,,,,,,,,45.0361441,7.6740203,True
1939,Ospedale Mauriziano Umberto I,Via Magellano 1,Torino,,386,Ospedale Pubblico,011 508 1111,,,264.66,4.5,Piemonte Open Data,Regione Piemonte - Strutture sanitarie,5.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,Outstanding in cardiology​,45.05167855,7.665618624998441,True
1940,Ospedale Maggiore della Carita,Corso Mazzini 18,Novara,,386,Ospedale Pubblico,0321 373 3111,,,,4.1,Piemonte Open Data,Regione Piemonte - Strutture sanitarie,,,,,,,,,,45.4438699,8.6225253,True
1941,Ospedale SS. Antonio e Biagio,Via Venezia 16,Alessandria,,386,Ospedale Pubblico,0131 206 111,,,299.07,3.3,Piemonte Open Data,Regione Piemonte - Strutture sanitarie,,,,,,,,,,44.91548160057007,8.620043235023617,True
1942,Ospedale Santa Croce e Carle,Via Michele Coppino 26,Cuneo,,386,Ospedale Pubblico,0171 641 111,,,101.3,3.9,Piemonte Open Data,Regione Piemonte - Strutture sanitarie,4.0,3.0,4.0,3.0,4.0,4.0,1.0,4.0,Strong in oncology.,44.385316700000004,7.537054211756528,True
1945,Ospedale Maria Vittoria,Via Cibrario 72,Torino,,386,Ospedale Pubblico,011 439 3111,,,290.88,3.1,Piemonte Open Data,Regione Piemonte - Strutture sanitarie,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,,45.0817634,7.6553516,True
1946,Ospedale Policlinico San Martino,Largo Rosanna Benzi 10,Genova,,387,IRCCS Pubblico,010 555 1,,,297.93,2.6,Liguria Open Data,Regione Liguria - Strutture sanitarie,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,Strong in oncology.,44.4115363,8.9743547,True
1947,Ospedale Galliera,Mura delle Cappuccine 14,Genova,,387,Ospedale Pubblico,010 563 21,,,,2.7,Liguria Open Data,Regione Liguria - Strutture sanitarie,,,,,,,,,,44.398074,8.9425633,True
1948,Ospedale Villa Scassi,Corso Onofrio Scassi 1,Genova,,387,Ospedale Pubblico,010 849 91,,,209.38,4.5,Liguria Open Data,Regione Liguria - Strutture sanitarie,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,,44.4125772,8.897401354155495,True
1949,Ospedale Gaslini,Via Gerolamo Gaslini 5,Genova,,387,IRCCS Pediatrico,010 56311,,,57.8,4.1,Liguria Open Data,Regione Liguria - Strutture sanitarie,1.0,1.0,3.0,1.0,3.0,1.0,5.0,1.0,Outstanding in pediatrics​,44.3915258,8.9883856,True
1960,Ospedale San Pio,Viale Benedetto Croce,Vasto,,388,Ospedale Pubblico,0873 3081,,,165.98,3.2,Abruzzo Open Data,Regione Abruzzo - Strutture sanitarie,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,,42.30792583284287,13.427356111246374,True
1969,Ospedale di Civitanova Marche,Via Ginevri,Civitanova Marche,,389,Ospedale Pubblico,0733 8231,,,68.98,4.6,Marche Open Data,Regione Marche - Strutture sanitarie,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,,43.30927368107065,13.695893479127287,True
1970,Ospedale San Salvatore,Piazzale Cinelli 4,Pesaro,,389,Ospedale Pubblico,0721 3611,,,162.17,4.5,Marche Open Data,Regione Marche - Strutture sanitarie,,,,,,,,,,43.90741765,12.9071655117071,True
1971,Ospedale Madonna del Soccorso,Via Manara,San Benedetto del Tronto,,389,Ospedale Pubblico,0735 793111,,,164.82,2.9,Marche Open Data,Regione Marche - Strutture sanitarie,,,,,,,,,,42.95010580421448,13.866356112729054,True
1973,Ospedale Santa Maria della Misericordia,Piazzale Giorgio Menghini,Perugia,,390,Ospedale Pubblico,075 5781,,,129.95,3.4,Umbria Open Data,Regione Umbria - Strutture sanitarie,,,,,,,,,,43.0805112848199,12.353915768786878,True
1974,Ospedale Santa Maria,Viale Tristano di Joannuccio,Terni,,390,Ospedale Pubblico,0744 2051,,,85.2,2.9,Umbria Open Data,Regione Umbria - Strutture sanitarie,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,,43.093244599171506,12.424925319953418,True
1952,Ospedale Lavagna,Via Don Giovanni Battista Bobbio 25,Lavagna,,387,Ospedale Pubblico,0185 3291,,,134.68,4.9,Liguria Open Data,Regione Liguria - Strutture sanitarie,,,,,,,,,,44.31484135,9.349231627574795,True
1964,Ospedali Riuniti di Ancona,Via Conca 71,Ancona,,389,Ospedale Pubblico,071 5961,,,118.57,3.0,Marche Open Data,Regione Marche - Strutture sanitarie,5.0,3.0,5.0,3.0,3.0,3.0,1.0,3.0,Excels in cardiology​,43.6016932,13.4514731,True
1965,Ospedale Salesi,Via Filippo Corridoni 11,Ancona,,389,Ospedale Pediatrico,071 59641,,,,4.8,Marche Open Data,Regione Marche - Strutture sanitarie,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,,43.61691075,13.532389730573037,True
1966,INRCA Ancona,Via della Montagnola 81,Ancona,,389,IRCCS Pubblico,071 8001,,,,2.7,Marche Open Data,Regione Marche - Strutture sanitarie,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,43.59390245,13.513140334779782,True
1967,Ospedale Carlo Urbani,Via dei Colli 52,Jesi,,389,Ospedale Pubblico,0731 5341,,,221.15,3.3,Marche Open Data,Regione Marche - Strutture sanitarie,,,,,,,,,,43.53048522190365,13.228270279397965,True
1968,Ospedale di Macerata,Via Santa Lucia 2,Macerata,,389,Ospedale Pubblico,0733 25111,,,64.07,2.8,Marche Open Data,Regione Marche - Strutture sanitarie,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,,43.29450885,13.459182680647977,True
1978,Ospedale di Foligno,Via Arcamone,Foligno,,390,Ospedale Pubblico,0742 3391,,,,2.5,Umbria Open Data,Regione Umbria - Strutture sanitarie,,,,,,,,,,42.96041135,12.688607988288839,True
1979,Ospedale di Spoleto,Via Loreto 3,Spoleto,,390,Ospedale Pubblico,0743 2101,,,223.2,4.1,Umbria Open Data,Regione Umbria - Strutture sanitarie,,,,,,,,,,42.73243095,12.726086601324244,True
1981,Ospedale Pugliese Ciaccio,Viale Pio X,Catanzaro,,391,Ospedale Pubblico,0961 883111,,,,3.4,Calabria Open Data,Regione Calabria - Strutture sanitarie,,,,,,,,,,38.922393338245456,16.582059991750043,True
1985,Ospedale San Francesco di Paola,Via San Francesco di Paola,Paola,,391,Ospedale Pubblico,0982 5800,,,,3.3,Calabria Open Data,Regione Calabria - Strutture sanitarie,,,,,,,,,,37.93478881032067,15.342600580909684,True
1987,Ospedale di Crotone,Via XXV Aprile,Crotone,,391,Ospedale Pubblico,0962 924111,,,156.02,3.5,Calabria Open Data,Regione Calabria - Strutture sanitarie,,,,,,,,,,39.080582723526106,17.1191317460451,True
1988,Ospedale di Vibo Valentia,Via Giovanni Paolo II,Vibo Valentia,,391,Ospedale Pubblico,0963 962111,,,272.93,4.4,Calabria Open Data,Regione Calabria - Strutture sanitarie,,,,,,,,,,38.68078408357358,15.919837647785679,True
1989,Ospedale San Francesco,Via Mannironi,Nuoro,,392,Ospedale Pubblico,0784 240200,,,293.91,3.6,Sardegna Open Data,Regione Sardegna - Strutture sanitarie,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,,40.28165620510154,9.418497727082892,True
1990,Ospedale Civile SS. Annunziata,Via Enrico De Nicola,Sassari,,392,Ospedale Pubblico,079 2061000,,,238.56,3.5,Sardegna Open Data,Regione Sardegna - Strutture sanitarie,,,,,,,,,,40.717933724976646,8.55358199655419,True
1962,Ospedale Civile G. Bernabeo,Via Pindaro 2,Ortona,,388,Ospedale Pubblico,085 9171,,,275.43,4.5,Abruzzo Open Data,Regione Abruzzo - Strutture sanitarie,4.0,4.0,1.0,1.0,4.0,4.0,1.0,4.0,Strong in cardiology.,42.36177188411598,13.37292106390298,True
1972,Ospedale Santa Croce,Via del Mandracchio 11,Fano,,389,Ospedale Pubblico,0721 8821,,,,4.3,Marche Open Data,Regione Marche - Strutture sanitarie,,,,,,,,,,43.60189828514434,13.50404362453334,True
1975,Ospedale San Giovanni Battista,Via Massimo Arcamone,Orvieto,,390,Ospedale Pubblico,0763 3071,,,81.2,2.6,Umbria Open Data,Regione Umbria - Strutture sanitarie,,,,,,,,,,43.14081716375654,12.354253755913554,True
1976,Ospedale di Citta di Castello,Via Luigi Angelini 10,Citt di Castello,,390,Ospedale Pubblico,075 85091,,,164.44,3.2,Umbria Open Data,Regione Umbria - Strutture sanitarie,,,,,,,,,,43.10843153446813,12.344480081544226,True
1977,Ospedale di Gubbio - Gualdo Tadino,Largo Unit d'Italia,Gubbio,,390,Ospedale Pubblico,075 927 01,,,178.93,2.8,Umbria Open Data,Regione Umbria - Strutture sanitarie,,,,,,,,,,43.15638021102684,12.412529667549922,True
1980,Ospedale Media Valle del Tevere,Via del Buda,Todi,,390,Ospedale Pubblico,075 894 11,,,201.97,2.9,Umbria Open Data,Regione Umbria - Strutture sanitarie,,,,,,,,,,43.06206193807151,12.4013412894963,True
2002,Ospedale di Melfi,Via Foggia,Melfi,,393,Ospedale Pubblico,0972 773111,,,,3.8,Basilicata Open Data,Regione Basilicata - Strutture sanitarie,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,,40.9948875,15.6506604,True
2010,Ospedale Umberto Parini,Viale Ginevra 3,Aosta,,395,Ospedale Pubblico,0165 5431,,,,3.6,Valle d'Aosta Open Data,Regione Valle d'Aosta - Strutture sanitarie,,,,,,,,,,45.74097291476079,7.314461037484064,True
2004,Ospedale Cardarelli,Contrada Tappino,Campobasso,,394,Ospedale Pubblico,0874 4091,,,281.17,4.9,Molise Open Data,Regione Molise - Strutture sanitarie,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,,41.53974371912338,14.623246100766385,True
2005,Ospedale San Timoteo,Via Molinello,Termoli,,394,Ospedale Pubblico,0875 7171,,,262.72,4.9,Molise Open Data,Regione Molise - Strutture sanitarie,,,,,,,,,,41.99485990926637,14.989919246102875,True
2006,Ospedale F. Veneziale,Via San Cosmo,Isernia,,394,Ospedale Pubblico,0865 4421,,,80.87,3.6,Molise Open Data,Regione Molise - Strutture sanitarie,,,,,,,,,,41.58479549987991,14.224540921516773,True
2009,IRCCS Neuromed,Via Atinense 18,Pozzilli,,394,IRCCS Privato,0865 9291,,,186.21,4.0,Molise Open Data,Regione Molise - Strutture sanitarie,1.0,3.0,1.0,5.0,3.0,3.0,1.0,3.0,Renowned neurology & neurosurgery institute.,41.5144942,14.060392643993103,True
1994,Ospedale Binaghi,Via Is Guadazzonis,Cagliari,,392,Ospedale Pubblico,070 609 2621,,,137.21,4.3,Sardegna Open Data,Regione Sardegna - Strutture sanitarie,,,,,,,,,,39.21151346249013,9.141435972205802,True
1993,Ospedale Brotzu,Piazzale Alessandro Ricchi 1,Cagliari,,392,Ospedale Pubblico,070 5391,,,227.15,4.1,Sardegna Open Data,Regione Sardegna - Strutture sanitarie,,,,,,,,,,39.24866275,9.108548659850051,True
1995,Policlinico Duilio Casula,SS 554,Monserrato,,392,Ospedale Pubblico,070 51096500,,,,3.9,Sardegna Open Data,Regione Sardegna - Strutture sanitarie,,,,,,,,,,39.266630776098985,9.139843537088849,True
1996,Ospedale Marino,Lungomare Poetto,Cagliari,,392,Ospedale Pubblico,070 609 2900,,,233.83,5.0,Sardegna Open Data,Regione Sardegna - Strutture sanitarie,,,,,,,,,,39.2030697,9.1621509,True
